customer_id,customer_name,email,registration_date,customer_type
C0001,Shravya Chawla,vyogi@example.com,2025-01-07,VIP
C0002,Aarnav Bahri,gpatil@example.net,2026-06-26,PREMIUM
C0003,Tripti Jani,charvi96@example.net,2026-02-01,PREMIUM
C0004,Yug Radhakrishnan,mitalikhanna@example.org,2023-09-23,VIP
C0005,Ekbal Dhingra,chaudhurivedhika@example.com,2024-02-21,REGULAR
C0006,Frado Chana,nahuja@example.org,2025-08-06,REGULAR
C0007,Timothy Bhattacharyya,lzachariah@example.net,2025-03-15,REGULAR
C0008,Imaran Kanda,deojyoti@example.net,2025-11-26,VIP
C0009,Yoshita Nagi,theodore03@example.org,2024-05-05,PREMIUM
C0010,Kamya Reddy,triyabahl@example.org,2023-12-28,PREMIUM
C0011,Chatura Narang,owenpai@example.com,2026-06-19,PREMIUM
C0012,Veda Krishnamurthy,jagdishbajwa@example.com,2024-12-03,PREMIUM
C0013,Isha Bhat,niteshsubramanian@example.net,2024-02-17,PREMIUM
C0014,Harita Sengupta,zmadan@example.com,2024-06-08,PREMIUM
C0015,Vedika Dube,priya81@example.org,2026-05-24,VIP
C0016,Zaid Kar,madhavdugar@example.com,2024-11-14,PREMIUM
C0017,Falak Muni,deepvictor@example.org,2025-04-25,REGULAR
C0018,Ayush Madan,kavya38@example.com,2024-01-22,VIP
C0019,Hardik Doctor,agrawalzaid@example.net,2023-11-12,REGULAR
C0020,Maanas Gandhi,vwarrior@example.net,2024-06-11,REGULAR
C0021,Yashica Bains,qkarpe@example.net,2024-09-04,PREMIUM
C0022,Kevin Krishnan,garya@example.org,2024-07-07,PREMIUM
C0023,Hamsini Dara,guneetjhaveriexample.org,2025-08-08,VIP
C0024,Ethan Contractor,warhi68@example.org,2025-10-04,REGULAR
C0025,Unni Varghese,aashibedi@example.org,2025-07-11,VIP
C0026,Yauvani Kaul,henryluthra@example.org,2026-02-21,VIP
C0027,Divya Dora,matthewvaidya@example.net,2024-10-18,REGULAR
C0028,Dayamai Tata,psingh@example.com,2024-07-05,PREMIUM
C0029,Ishwar Tripathi,dmurthy@example.com,2025-01-27,PREMIUM
C0030,Bimala Singh,vasanagupta@example.org,2025-07-14,PREMIUM
C0031,Zehaan Talwar,qbanerjee@example.org,2025-10-20,REGULAR
C0032,Gaurav Chacko,gautami96@example.net,2024-09-03,REGULAR
C0033,Netra Halder,mandereshana@example.com,2025-01-14,VIP
C0034,Vasana Krishnamurthy,travel@example.net,2024-09-09,REGULAR
C0035,Yochana Vaidya,gkhurana@example.org,2024-04-09,REGULAR
C0036,Ekta Srivastava,ryankumer@example.net,2024-06-25,REGULAR
C0037,Banjeet Mander,banjeetramakrishnan@example.com,2025-04-09,REGULAR
C0038,Yagnesh Wable,reva20@example.org,2026-03-25,PREMIUM
C0039,Jacob Kumar,esha@example.org,2025-02-02,REGULAR
C0040,Tripti Sant,girindra16@example.org,2023-08-13,PREMIUM
C0041,Finn Loyal,aarush90@example.net,2023-10-15,PREMIUM
C0042,Yamini Kulkarni,wbhagat@example.org,2026-01-25,REGULAR
C0043,Bhavya Gaba,ramansaksham@example.com,2025-10-02,PREMIUM
C0044,Wridesh Minhas,loparay@example.com,2025-03-13,REGULAR
C0045,Henry Mahajan,murthyyagnesh@example.net,2025-04-20,REGULAR
C0046,Hemal Karnik,csrinivas@example.com,2025-07-16,VIP
C0047,Banjeet Bahl,suraxavier@example.org,2025-05-04,PREMIUM
C0048,Raksha Konda,ekalinganayak@example.org,2023-08-26,PREMIUM
C0049,Darpan Prasad,mapte@example.com,2026-02-25,REGULAR
C0050,Upkaar Rai,shivansh26@example.com,2024-01-09,VIP
C0051,Hemangini Bhat,sabharwalkiaan@example.org,2025-06-07,REGULAR
C0052,Edhitha Bera,sharafrajata@example.com,2024-12-15,PREMIUM
C0053,Aryan Bail,sanghaaarav@example.net,2025-12-08,PREMIUM
C0054,Ridhi Goyal,ochandra@example.net,2025-05-29,PREMIUM
C0055,Ira Hayre,shuklaekantika@example.net,2025-08-09,VIP
C0056,Rishi Verma,arorachavvi@example.com,2026-05-22,REGULAR
C0057,Dalbir Raghavan,thamanchanchal@example.org,2025-10-22,PREMIUM
C0058,Kritika Nayak,rsem@example.org,2024-07-13,REGULAR
C0059,Zinal Ratti,chakrabartiwarhi@example.net,2026-05-24,VIP
C0060,Damyanti Grewal,owen76@example.com,2025-07-26,VIP
C0061,Unni Dugar,waidasabharwal@example.net,2026-06-20,VIP
C0062,Yashoda Kade,pinglevritti@example.com,2024-05-03,PREMIUM
C0063,Ikbal Mandal,manthansachdeva@example.net,2025-08-01,VIP
C0064,Saanvi Mani,baljiwan30@example.net,2025-03-29,REGULAR
C0065,Jasmit Batta,sbassi@example.net,2025-08-11,PREMIUM
C0066,Nihal Solanki,idika03@example.com,2024-09-29,VIP
C0067,Dalbir Desai,madhavikarnik@example.net,2025-07-15,REGULAR
C0068,Chaman Bakshi,qsangha@example.net,2025-05-03,VIP
C0069,Keya Majumdar,xkashyap@example.net,2025-07-20,REGULAR
C0070,Ansh Wagle,jalsa17@example.net,2025-02-12,PREMIUM
C0071,Gautami Bansal,hemal23@example.com,2025-01-21,PREMIUM
C0072,Qasim Brahmbhatt,zansikapur@example.com,2025-08-24,VIP
C0073,Mekhala Parsa,xrattan@example.net,2026-07-01,REGULAR
C0074,Mason Gaba,jasonbhatti@example.com,2026-01-26,PREMIUM
C0075,Chandran Bahl,vkhurana@example.net,2025-10-24,PREMIUM
C0076,Manan Prakash,omanya@example.com,2025-02-28,VIP
C0077,Nirja Pal,sanireyansh@example.net,2024-07-17,PREMIUM
C0078,Gaurav Chawla,gmani@example.com,2025-10-11,VIP
C0079,Upadhriti Dyal,jeremiahjhaveri@example.com,2025-10-09,REGULAR
C0080,Daksha Thakur,harishbalasubramanian@example.com,2024-04-08,VIP
C0081,Reva Narang,mannanmeera@example.net,2024-09-07,VIP
C0082,Patrick Nagar,bhavika84@example.org,2026-01-18,VIP
C0083,Yoshita Rao,agastyarastogi@example.com,2024-03-10,REGULAR
C0084,Abhimanyu Raj,chandanichanda@example.org,2024-03-01,PREMIUM
C0085,Robert Dani,anandnathan@example.net,2023-12-16,VIP
C0086,Gavin Pall,shravya42@example.org,2025-04-30,PREMIUM
C0087,Ubika Gara,batragirik@example.net,2026-05-08,VIP
